"","Japan","region_Hokkaido","region_Tohoku","region_Kanto","region_Chubu","region_Kinki","region_Chugoku","region_Shikoku","region_Kyushu"
"1990",-5.01032282108215,-5.03546608524139,-4.91111638330081,-5.17361019347361,-5.00664864399587,-5.00023746461823,-4.83487268357628,-4.76719033905121,-4.86264153301163
"1991",-5.00194274280724,-5.03147911505809,-4.88782077096424,-5.16760724140264,-4.99331356216111,-4.98837212881624,-4.8374541861962,-4.76343687575559,-4.85640507548645
"1992",-4.97335951655287,-4.99118130386863,-4.86072259088484,-5.13097198939172,-4.96093604539687,-4.96626968656242,-4.80592078782952,-4.74351176941287,-4.84367351596709
"1993",-4.9511344896973,-4.95756489001701,-4.83755454548465,-5.10612429202786,-4.94766576117987,-4.94104572547716,-4.791502618357,-4.72768902882029,-4.81702652903325
"1994",-4.95662629909499,-4.98220752826096,-4.84092452683463,-5.10454265649729,-4.93663359742482,-4.95167102299847,-4.79349030432194,-4.73161343106901,-4.84784383243232
"1995",-4.90811292471252,-4.93989996148724,-4.80607166516951,-5.0602653381736,-4.90512800025436,-4.87744969154271,-4.74781262578164,-4.69879071896248,-4.7835588496213
"1996",-4.93891622125394,-4.93886818411142,-4.80972583985931,-5.08088568295969,-4.9276872009323,-4.94445468954909,-4.78400792248949,-4.71144896489686,-4.82757634574917
"1997",-4.92258773510265,-4.92744898527279,-4.79083337973661,-5.06208867526735,-4.91249113419726,-4.93655470520269,-4.76348103440393,-4.6952099307038,-4.80507967479962
"1998",-4.89978873363078,-4.91492432907531,-4.77676718886492,-5.03001910977041,-4.89169992920121,-4.90849514705032,-4.7506148339418,-4.68475417991776,-4.7863947415031
"1999",-4.8544524590028,-4.85266437896163,-4.71512557948555,-4.98590034387703,-4.84613341943351,-4.88171370722455,-4.69359650075545,-4.63757547975046,-4.73384899665626
"2000",-4.8767554157032,-4.87465808512796,-4.74538907059214,-5.00968812111257,-4.86561078626954,-4.89156625991999,-4.71855671572252,-4.65735609321462,-4.76854408820821
"2001",-4.86961087239695,-4.86731354393145,-4.72903950579738,-5.00055771916506,-4.85583345821773,-4.88884619451479,-4.71693575362329,-4.65503790473952,-4.76339450879251
"2002",-4.85890375383201,-4.85140133909788,-4.72102634262189,-4.98235706276823,-4.84861068152653,-4.88570736061948,-4.71038592405862,-4.64612334314969,-4.74648112787427
"2003",-4.82730979052988,-4.80671542628284,-4.67920297812035,-4.95758248580338,-4.81803299226816,-4.85135683252244,-4.6789578860953,-4.60811097174893,-4.71407312293075
"2004",-4.81468881992294,-4.78096621473014,-4.65714973683788,-4.94947297439468,-4.8028982438986,-4.83764066890118,-4.66841462502075,-4.59506983186334,-4.70425048236008
"2005",-4.76253411907933,-4.72383845882816,-4.60358586063948,-4.89390401806135,-4.75166157276253,-4.78284365261726,-4.61945357243333,-4.54339582695991,-4.66033418898642
"2006",-4.76219273758543,-4.71520743586747,-4.59985709263385,-4.8954587909517,-4.75420620505622,-4.78216831181087,-4.61904083057271,-4.54404676681809,-4.65425651673407
"2007",-4.7414907977792,-4.68737199857874,-4.57367756311708,-4.87537321602482,-4.7286556542889,-4.76489670474539,-4.60162714674818,-4.53481817998927,-4.63183934297762
"2008",-4.71181956237486,-4.65474423633739,-4.55126583789586,-4.85035946864124,-4.69292209079174,-4.73298464862338,-4.56279557672254,-4.499182735143,-4.60074090629457
"2009",-4.71262159131906,-4.64515011365737,-4.53688278429525,-4.84773460846602,-4.70010942483182,-4.73524722207268,-4.56871036185836,-4.49968649959627,-4.61038122827932
"2010",-4.66517182246107,-4.60016596597097,-4.49041593365492,-4.79872850667258,-4.64707582584108,-4.68780433839663,-4.52635538732538,-4.44911934511969,-4.56560538152113
"2011",-4.61844755456862,-4.56750791276124,-4.27915505565751,-4.769287126818,-4.61815588559065,-4.66052830227814,-4.50167001503114,-4.41880929821528,-4.52868710321189
"2012",-4.61447594029256,-4.54505233413044,-4.44033517850385,-4.74878385891553,-4.59231620147777,-4.63950135307675,-4.4754724567707,-4.39450250097148,-4.51099870686537
"2013",-4.60331990853313,-4.51732830526297,-4.43119936856945,-4.73801683863204,-4.58521602479147,-4.62309961893177,-4.46554536623928,-4.37282163309543,-4.50694581396008
"2014",-4.59772271282103,-4.5030155605733,-4.41469141103058,-4.73019563074929,-4.57856692273305,-4.62437628449,-4.47349143509559,-4.37414654582578,-4.49936777674991
"2015",-4.58172429651697,-4.48683002048577,-4.39835863645805,-4.71525186493982,-4.56099123812324,-4.60358206543152,-4.45060440778432,-4.36341317416525,-4.48812841785941
"2016",-4.56589516778006,-4.46068161443203,-4.37553387733452,-4.69961372923772,-4.54421683275166,-4.59499011976692,-4.44207477372282,-4.34050033324799,-4.46773102275378
"2017",-4.53935341343916,-4.4466468332105,-4.35053439443687,-4.66945272705516,-4.51376549163802,-4.56579716820626,-4.41938377274627,-4.32078673343251,-4.44539594964411
"2018",-4.52031772437719,-4.41318008445463,-4.33283238870123,-4.65010218697001,-4.49583507406516,-4.54309856351749,-4.39892823387962,-4.3078950976345,-4.43119302912055
"2019",-4.50322759508134,-4.38583223292646,-4.30081798434638,-4.6298221873167,-4.47497051300898,-4.53310836423325,-4.39300939297263,-4.29395010859043,-4.42297674643373
"2020",-4.50520164871914,-4.38487979109192,-4.31655634791224,-4.62616524683041,-4.48131514306788,-4.52309419556446,-4.41346591613899,-4.29933500048687,-4.4271292461657
"2021",-4.45267373467251,-4.31826742519539,-4.26784637378371,-4.5722869777515,-4.43547605329195,-4.46440437278611,-4.35880446268259,-4.25366944856927,-4.38049188288457
"2022",-4.36104762884901,-4.23427024232945,-4.18293218908382,-4.47474318451137,-4.34452624086839,-4.37224234629159,-4.27350335256611,-4.17095513799616,-4.28969823104388
