"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",-5.23419486943646,-5.13334714392566,-5.16792527136538,-5.26535949333018,-5.24186898249737,-5.37000135584648,-5.26185911933888,-5.24673586369654,-5.20999152051816,-5.2857684347867,-5.3050187708833,-5.32239286958968,-5.23305598173937,-5.29476667771109,-5.34235598720102,-5.32143963777007,-5.37966192125681,-5.3813512098776,-5.24985773318837,-5.39530415106889,-5.3367630201376,-5.28173363984837,-5.30927316271208,-5.32710477638922,-5.36199545796145,-5.27459498057289,-5.15778181044568,-5.21956348905943,-5.31111895838525,-5.17831102648779,-5.17953394255808,-5.2365724313406,-5.28649255600639,-5.25782054489075,-5.16574555917822,-5.19032790958664,-5.32655430283946,-5.22385110144604,-5.1658007386231,-5.16530598410538,-5.17273548774671,-5.22252923522399,-5.279234606137,-5.25351036273502,-5.23584598046273,-5.21106960083376
"2",-5.25997203643071,-5.11714563721906,-5.16301579162111,-5.28552059560245,-5.23760804243659,-5.37378364539815,-5.26966965883875,-5.2622689876226,-5.21817897114502,-5.3006560992526,-5.32659853531094,-5.34208118398921,-5.26090694483013,-5.32143861437893,-5.35845704346926,-5.34012317819102,-5.38387525490968,-5.41413683127224,-5.27945243365183,-5.43622862250025,-5.34913498461383,-5.30825760745211,-5.31883951263579,-5.35013079618247,-5.36336588437848,-5.29547441157689,-5.17804498743524,-5.22291123736488,-5.33628614370033,-5.19049308844699,-5.17508255221341,-5.27463502020236,-5.33532684628092,-5.28906034528536,-5.19031624037294,-5.22391051049313,-5.33398185058654,-5.2287381336712,-5.19206544830757,-5.17921608904325,-5.18632797054585,-5.23719874912047,-5.31884665780053,-5.26963564786097,-5.25802223079349,-5.22825320243334
"3",-5.26191793716803,-5.11913657011569,-5.18353973147593,-5.28528564943168,-5.24444774374642,-5.38624516332203,-5.27450807079641,-5.26222847551092,-5.21170857058327,-5.31583083596655,-5.32349569708027,-5.33838860129229,-5.26469111943184,-5.3263629942159,-5.35583101994868,-5.34056016159417,-5.39729606715382,-5.43152538289288,-5.28623959732723,-5.43159279193497,-5.36138497001561,-5.32085238342296,-5.32525494719452,-5.36064287154651,-5.39943246232291,-5.30419158604184,-5.18230211472338,-5.23637032539597,-5.35837315018359,-5.19918359689808,-5.19650925320632,-5.2807839786959,-5.33565689024827,-5.29310994871406,-5.19037009941845,-5.23326585201408,-5.35026771885614,-5.24666083813795,-5.19142901862056,-5.19702692240559,-5.20758674785371,-5.25254221916773,-5.3398938122617,-5.28300519844643,-5.26763104485571,-5.24506953351621
"4",-5.2677396660839,-5.11483481730005,-5.18899490975435,-5.30971608580947,-5.25517837833199,-5.40565205181921,-5.28649848549294,-5.27848042611507,-5.22404233692062,-5.32583040279654,-5.33348040321661,-5.35440741012232,-5.27512246032599,-5.33149779898236,-5.37200373528128,-5.36194856609303,-5.40765689911551,-5.43694170623857,-5.2830278492057,-5.46767965852782,-5.38438191919007,-5.340419346567,-5.34472262686281,-5.3720338768714,-5.40045530252026,-5.31961659319054,-5.19343946733079,-5.23798925927593,-5.36223741231427,-5.21458485918104,-5.21414259224781,-5.30515368098706,-5.34646718578206,-5.31177248198981,-5.21286194943639,-5.25806545449392,-5.37841307562612,-5.25936111143762,-5.18296572878981,-5.19982770121451,-5.23463765157894,-5.25278775028764,-5.3327349133953,-5.30987287500974,-5.28722808059015,-5.25509984359853
"5",-5.31173092746546,-5.14896073123928,-5.2556200116159,-5.33422126641307,-5.27777481698344,-5.41724956223596,-5.31823031992992,-5.31682253590691,-5.26721121837459,-5.34783959861379,-5.36950299751868,-5.37235472581029,-5.30227217650992,-5.35782748465452,-5.38852001204075,-5.39440544884006,-5.43551260572588,-5.46508412885586,-5.31426587052838,-5.47346869100775,-5.3949571298569,-5.36046727602449,-5.36925176443533,-5.39148035322233,-5.43680731824645,-5.36649771108158,-5.23434963327887,-5.27104758989475,-5.39720553974327,-5.24929675274369,-5.24188883011492,-5.3206999991976,-5.3674627496643,-5.33657494366577,-5.26082217972094,-5.26410532974452,-5.39987733566308,-5.28176511404052,-5.23470615022471,-5.25847761426979,-5.26728877119537,-5.30163285671636,-5.39391678817875,-5.34916654904156,-5.31355588525183,-5.29213551363525
"6",-5.31393062153175,-5.15114555389107,-5.24825372787729,-5.32407834964299,-5.30722492128125,-5.4391830177858,-5.30889410355258,-5.29992065112214,-5.28634927077218,-5.34638009536273,-5.37058380459778,-5.37602812865471,-5.29888752905979,-5.3603438455072,-5.39815648653707,-5.39527109624084,-5.4445299697715,-5.4757242203045,-5.32195044064761,-5.50771211726892,-5.40470285175217,-5.35953553948109,-5.37174326367552,-5.38663068160043,-5.44780974645467,-5.38326868509772,-5.23165547635499,-5.1287087781787,-5.40478293699851,-5.25056965030059,-5.24581030906902,-5.31566700488315,-5.3783892413136,-5.33310344723522,-5.24785716908938,-5.27665568405259,-5.41245630001745,-5.28357457749389,-5.24259604037966,-5.23836873786937,-5.24428004046146,-5.28675645219294,-5.39555540347529,-5.34280126599889,-5.30316811241603,-5.26433341826705
"7",-5.34362440385297,-5.17105936052914,-5.30219186272392,-5.37824949700213,-5.32757729345726,-5.46081511979944,-5.34367881548535,-5.35095261358298,-5.32612236759835,-5.41219516258875,-5.40966689168526,-5.41627016661358,-5.35053003079499,-5.41413570847972,-5.44832547203041,-5.44818838387554,-5.48299770307689,-5.51525272861005,-5.366242950646,-5.52851574473595,-5.45724158828588,-5.41905777091157,-5.42112588381018,-5.43404431048954,-5.5092890465574,-5.43063806378865,-5.27946813476543,-5.34119981568105,-5.4529708394212,-5.30596654707965,-5.31475878902743,-5.36114961087085,-5.42406541385858,-5.40040546463182,-5.31191134743905,-5.30543564146008,-5.43556651862674,-5.31505262303976,-5.28939429581919,-5.30701306478197,-5.29850438403472,-5.34667602382996,-5.45700482199655,-5.39240499397416,-5.35971947803125,-5.31913046419747
"8",-5.36959105139912,-5.18866059303679,-5.30628502419734,-5.39685013331241,-5.33455301943015,-5.47894036670641,-5.37049136388339,-5.35657273476368,-5.33748552108255,-5.44010906749008,-5.43340883259738,-5.43671888471998,-5.37196067744275,-5.42808670173596,-5.46260727506854,-5.45927398767357,-5.50681371381552,-5.52045017883108,-5.39589711988707,-5.54852126883412,-5.47626291206104,-5.45152099497008,-5.45275492085318,-5.47620317583231,-5.53886016060224,-5.45783023055614,-5.30459704250535,-5.36845768181116,-5.47543409200726,-5.33683888419548,-5.32227507424717,-5.39090974292818,-5.45208878497066,-5.4111893561564,-5.33272249327221,-5.32745270846156,-5.4515174982893,-5.33207065335343,-5.30282852654677,-5.31830785148836,-5.30440183946841,-5.37147425266596,-5.46673128445639,-5.41605190338051,-5.35895098840497,-5.3498422667015
"9",-5.39275882380109,-5.21466671380452,-5.33605661760839,-5.41513774071172,-5.35935376063104,-5.50004195048895,-5.37652218084943,-5.37690721346839,-5.35975882188215,-5.42924073445606,-5.43515364286092,-5.43746564725204,-5.38681748753091,-5.43366297529644,-5.48134157014045,-5.47195791258632,-5.51009574678355,-5.56399792384096,-5.3990862178277,-5.57049754990239,-5.49766138687739,-5.46476754269158,-5.46692656887101,-5.47729332609889,-5.55923417907969,-5.46644375319426,-5.31517465561447,-5.38180876412233,-5.48307589033541,-5.3527344823576,-5.3607769834386,-5.42643486932848,-5.47295531798692,-5.43088465264408,-5.32600310407105,-5.36028107203695,-5.46947823615675,-5.34499710922433,-5.32021232123533,-5.32496734352683,-5.32999380940859,-5.3797704015992,-5.48358846897812,-5.434599968853,-5.38670168559143,-5.36248262402382
"10",-5.38269947582067,-5.20897221493014,-5.29659784577162,-5.38744479898648,-5.35820856988157,-5.49141679651387,-5.37053220872673,-5.37056445583417,-5.36736309657483,-5.42032456141588,-5.44610880925306,-5.43691643532286,-5.37435643283363,-5.44114324799428,-5.47370104616664,-5.47140488857158,-5.51557204138211,-5.57880273087174,-5.40411686743467,-5.57706744826116,-5.49213272473321,-5.45182875076828,-5.4729636537267,-5.5018568396874,-5.56269445538804,-5.46587721545201,-5.32303842954312,-5.39883186535794,-5.50964351918428,-5.36904459831151,-5.36686926384983,-5.39297316050949,-5.46010950140151,-5.42996710202883,-5.31944499126573,-5.36374161315796,-5.47983084992128,-5.34734900987121,-5.3031892147518,-5.31867416737,-5.35585538183927,-5.38125016317492,-5.45333508881465,-5.43472374512983,-5.39830677689611,-5.3375354397048
"11",-5.42901506359719,-5.24409247349808,-5.40285488762549,-5.4546238684908,-5.38676723221203,-5.53038814726224,-5.41856368359245,-5.41516583904464,-5.40816459915046,-5.47750982408338,-5.49213151086182,-5.49068804707502,-5.42475512147486,-5.49883385167899,-5.51711786259482,-5.53190653384885,-5.56988202514155,-5.61326923634643,-5.45175530043904,-5.60937588478451,-5.53869355042579,-5.50260849677099,-5.51329435519585,-5.53377770907529,-5.61446201564959,-5.51829842382224,-5.36013958019138,-5.44157476090367,-5.55096439663416,-5.39955970687549,-5.38834492400385,-5.45876784852382,-5.50963363671158,-5.4830686727939,-5.37646054613457,-5.40003674143412,-5.50198187232476,-5.3953779774634,-5.3449824403224,-5.38750930104428,-5.39277860680353,-5.42711483901757,-5.51901765506115,-5.46945212950157,-5.43789212644293,-5.40225445132002
"12",-5.45826665921578,-5.27270322747414,-5.40378788825631,-5.48943550002554,-5.42602120099366,-5.55087942994492,-5.43769438301668,-5.44405900170357,-5.44695311493722,-5.51656168870834,-5.5139169453148,-5.51771793158341,-5.45998371841696,-5.52051636409364,-5.53523281661295,-5.56901384772179,-5.59864573403414,-5.64897899817253,-5.47237198880368,-5.64239061782807,-5.58400143633714,-5.52549403997641,-5.54476025151665,-5.58135557179508,-5.6475670886606,-5.56906235135204,-5.389678553897,-5.47496266382777,-5.58318606691169,-5.4293877898432,-5.4323265876001,-5.49662929054463,-5.54385224294712,-5.50995486707605,-5.42850805981342,-5.43027970506774,-5.54081449599609,-5.41804504179093,-5.3774449930361,-5.42882932226368,-5.43502866686704,-5.46073512469322,-5.5494322433121,-5.51788606526877,-5.4490472373532,-5.41401220899826
"13",-5.48032737187919,-5.29243967407526,-5.44658422339411,-5.51914984046009,-5.44267053247857,-5.57653371399794,-5.47722276506088,-5.45678920247042,-5.46270627866811,-5.53558012642313,-5.53139004894013,-5.51836945137286,-5.49297064746262,-5.53933470656418,-5.56137056827831,-5.59800184725767,-5.61578670733775,-5.67523437717944,-5.50765540402341,-5.66464734208791,-5.6036883018709,-5.56604649620419,-5.57218858277463,-5.6051972092589,-5.69556433625182,-5.59136447175171,-5.42135995945839,-5.51820746608077,-5.60607426333825,-5.47294817312241,-5.45978860976668,-5.50913346411074,-5.57078115999818,-5.54545268235403,-5.46146590597326,-5.47432569377961,-5.55331413776805,-5.43940408605304,-5.40246861366588,-5.44630010728032,-5.46624619732642,-5.47108272955657,-5.55246021962522,-5.54038510609902,-5.48388217700797,-5.43981641682187
"14",-5.48199384082827,-5.29272105515111,-5.43860064479513,-5.52376607269132,-5.44662365813194,-5.58397216198188,-5.47293745592136,-5.46061396782139,-5.45452332367813,-5.54787676436768,-5.54488180818428,-5.53700104254398,-5.50602565677851,-5.55946786792406,-5.56145122707862,-5.58205257147214,-5.61577434459001,-5.6838283882423,-5.51860998563426,-5.68401367146146,-5.62988305996336,-5.5771692071706,-5.58940523213465,-5.61260217471438,-5.69696973416304,-5.61202313709156,-5.42840896775853,-5.51891665723999,-5.62642706684839,-5.48882796218097,-5.46834085553173,-5.51795083541573,-5.57664598591272,-5.55155421291963,-5.48420005665708,-5.46933821752692,-5.57163378752848,-5.43324172890457,-5.41771595650979,-5.45433745930598,-5.46988060216925,-5.48353912486369,-5.56100118206653,-5.55253629452164,-5.48692181946268,-5.45406749147259
"15",-5.49411572890432,-5.30130883653599,-5.4667916410217,-5.55190595018969,-5.4651077587084,-5.59494600712472,-5.48822562975752,-5.49778101300925,-5.48771671189809,-5.5626514698748,-5.56762266434986,-5.55402801549033,-5.53398906843952,-5.59181095988864,-5.5787961120328,-5.61477346925547,-5.64512967796272,-5.69036045432456,-5.53192042832535,-5.6901251617727,-5.63427693460624,-5.62056327890546,-5.61301852239262,-5.63557491144309,-5.74268287911379,-5.62864531800886,-5.4524305470784,-5.54522224548311,-5.63525130973933,-5.50012392908524,-5.48387254586857,-5.52958003890401,-5.61333774836141,-5.57788313217535,-5.49241681116053,-5.48962558267575,-5.58530501350236,-5.45971457247183,-5.41852985092656,-5.48205752908748,-5.49009913032549,-5.50450670619796,-5.58949487425527,-5.57326355246782,-5.51349026805742,-5.46435306085583
"16",-5.48568845077412,-5.30367971829166,-5.43750127601641,-5.53039697576417,-5.47411584495346,-5.59258776107667,-5.48416272464361,-5.48599846003466,-5.46839064074411,-5.53805788876962,-5.55622318467454,-5.54755851698412,-5.5247927121296,-5.5838736999848,-5.57860418475809,-5.61406426444732,-5.65209650737474,-5.69292414032141,-5.52378987778523,-5.68985146337331,-5.63487460678195,-5.60133239019739,-5.59907252056767,-5.61466369480069,-5.72255406365509,-5.62305492461766,-5.44608678334479,-5.53669639050502,-5.62562908908974,-5.48637011529249,-5.49846120082592,-5.52729540543086,-5.60271300237057,-5.57311611983571,-5.47399544022653,-5.49865178522423,-5.57834216423429,-5.45265923131664,-5.41887612596376,-5.48670568900597,-5.49673172057525,-5.50155658005248,-5.5860407731874,-5.58188126366945,-5.50911494400315,-5.46390216750099
"17",-5.5082091121865,-5.32834470853719,-5.4788589085088,-5.56522865306951,-5.47357473358812,-5.61160446771521,-5.52524557063412,-5.50738297870293,-5.50201129404093,-5.58682377867443,-5.58215749539243,-5.56781380460681,-5.55740161615045,-5.62237162639089,-5.61403958165547,-5.63337200843163,-5.67969492312714,-5.71803404760274,-5.53884871321349,-5.72204217287987,-5.66080344820293,-5.63015058009515,-5.63595468160963,-5.63877593805495,-5.74901888589239,-5.6414994640211,-5.47130383121431,-5.57864521439009,-5.66132661561981,-5.52609162304694,-5.51982350914787,-5.55648206156449,-5.63420837211675,-5.60062859182281,-5.50814743686265,-5.51925335632025,-5.59636093436953,-5.47737704904298,-5.45308173464343,-5.510010475116,-5.5301699819059,-5.51930075269992,-5.60640897042506,-5.61214357120193,-5.53556871652048,-5.48802976847504
