"","Japan","Hokkaido","Aomori","Iwate","Miyagi","Akita","Yamagata","Fukushima","Ibaraki","Tochigi","Gunma","Saitama","Chiba","Tokyo","Kanagawa","Niigata","Toyama","Ishikawa","Fukui","Yamanashi","Nagano","Gifu","Shizuoka","Aichi","Mie","Shiga","Kyoto","Osaka","Hyogo","Nara","Wakayama","Tottori","Shimane","Okayama","Hiroshima","Yamaguchi","Tokushima","Kagawa","Ehime","Kochi","Fukuoka","Saga","Nagasaki","Kumamoto","Oita","Miyazaki","Kagoshima"
"1990",-5.01032282108215,-5.03546608524139,-4.92298454986505,-4.87342756136381,-5.07867510552803,-4.81280830933146,-4.79787401265838,-4.89627171271681,-5.00726106563886,-4.95246284699605,-4.96936407566984,-5.31340420255396,-5.25165681965359,-5.11449845312509,-5.29504041989968,-4.88661008711844,-4.86320024576941,-4.95137496803897,-4.88275112598683,-4.85966553683592,-4.86338199288873,-4.98761868645927,-5.04506874728591,-5.17551324742149,-4.87482488371826,-5.02785753164608,-4.95581542897764,-5.08750401774763,-4.97586532135989,-5.02914002881791,-4.7518431123525,-4.77126662862383,-4.70456864407384,-4.83035137273829,-4.93155580659621,-4.77060271354089,-4.7425958122481,-4.81165894569589,-4.80314615346671,-4.67764226931001,-4.95986963166065,-4.79767871908769,-4.8343267160966,-4.8432438262836,-4.79730612880196,-4.88346190333618,-4.73537135467362
"1991",-5.00194274280724,-5.03147911505809,-4.88298315718234,-4.8395389159142,-5.06659289959274,-4.78527039509828,-4.77090842343838,-4.88579389076596,-5.01073047307275,-4.96084060568111,-4.95397477247798,-5.31354618973676,-5.23486217650449,-5.1092545000315,-5.28227351334969,-4.86573100902068,-4.85731766395414,-4.91885949293334,-4.87547311052733,-4.88615643924911,-4.85434025618874,-4.97235106822777,-5.03460998474659,-5.15690120535956,-4.88730983903664,-4.98913082752221,-4.94082182399079,-5.08464418833458,-4.95177692471356,-5.00715400312858,-4.74154681129588,-4.7384329779582,-4.70860048049272,-4.85130693770122,-4.93062520246486,-4.77024580379711,-4.78360338656177,-4.78690013869339,-4.77728762252414,-4.69178557730736,-4.95235302803635,-4.78018958768157,-4.81930623056628,-4.83790002853867,-4.79464930397894,-4.88477308857011,-4.73543372614519
"1992",-4.97335951655287,-4.99118130386863,-4.84945790793551,-4.82589449530318,-5.03950028113005,-4.74963050518548,-4.74898645903046,-4.8545048151655,-4.97469395203218,-4.92174149685063,-4.9376227364943,-5.26839456888352,-5.18785545547116,-5.0751222480699,-5.2477317527999,-4.8176632802063,-4.81789592369154,-4.90697069308641,-4.86279692280994,-4.86134821671985,-4.80110607181891,-4.95120128294853,-5.00578843464972,-5.12730416683667,-4.86573721298286,-5.00672439980404,-4.91543273622938,-5.05270230509083,-4.93271266907919,-5.0041781991044,-4.71519667924474,-4.74011925516144,-4.67263083780421,-4.81539870632257,-4.90039414297973,-4.73006488849651,-4.7469494729496,-4.77435751890482,-4.7748529205255,-4.6499271339845,-4.93828157057035,-4.77724419016358,-4.80964867696128,-4.83201556131755,-4.77262680983667,-4.8564511304863,-4.72594104739496
"1993",-4.9511344896973,-4.95756489001701,-4.79990790848976,-4.79288208121965,-5.02783215389867,-4.72765392928814,-4.74374332348442,-4.83284588419868,-4.95829201793255,-4.895829785743,-4.91171769596087,-5.24066448678205,-5.1739377605599,-5.0483419203698,-5.21557453464073,-4.81120887737085,-4.80665103586345,-4.87807904597252,-4.82648708507599,-4.81721594558869,-4.81683617685919,-4.94083883320023,-4.98969364198836,-5.10986693489103,-4.84737869190172,-4.97009996301801,-4.89744110399756,-5.02711067751214,-4.90270946909263,-4.96997259561528,-4.70585212016404,-4.71498142021064,-4.67044928440379,-4.79793332537998,-4.88749466609845,-4.713869440275,-4.74990752494325,-4.78203219066672,-4.75577623021186,-4.59720097850054,-4.90822523191602,-4.76885653723212,-4.76777526423323,-4.7857470188958,-4.76870416435175,-4.84359285186891,-4.70521432449253
"1994",-4.95662629909499,-4.98220752826096,-4.82215096728134,-4.82442984427464,-5.02175123711595,-4.7100769923563,-4.72192250050409,-4.84046331019915,-4.97829316650958,-4.91846020444633,-4.90349463668371,-5.25217151695963,-5.16157162900044,-5.0394762885037,-5.20661928251831,-4.79147591470413,-4.81201572250529,-4.88966913628103,-4.83665314372439,-4.84089543563022,-4.78361739475046,-4.91569208912247,-4.9761633839986,-5.10120213202514,-4.83894993736592,-4.98651201502893,-4.91956025102182,-5.04073750626855,-4.90775541947009,-4.98735321374348,-4.71539462612237,-4.71621618699758,-4.65853873876869,-4.79222265909738,-4.88668949493059,-4.7362375622289,-4.71100609639376,-4.77603291670852,-4.7566788042603,-4.65567302252661,-4.94073242300466,-4.79482161971345,-4.80810110207263,-4.83739907052218,-4.78888813740561,-4.85593608414885,-4.7236400429259
"1995",-4.90811292471252,-4.93989996148724,-4.77560166122264,-4.77179164365345,-4.97964259527005,-4.71120405567823,-4.71696489678133,-4.78897533749297,-4.90988682758937,-4.89869312150115,-4.85726558269019,-5.20362445317918,-5.12120281669293,-4.99447590479148,-5.16625367236726,-4.76491206911646,-4.76396566233052,-4.85371665910126,-4.79688396931903,-4.80347073975397,-4.79469624838884,-4.88260663976145,-4.93348228572988,-5.06279462913045,-4.79714526078332,-4.95678272514848,-4.89645083056967,-4.99807257612126,-4.73323687487196,-4.94827151986548,-4.67414356372253,-4.66560894696527,-4.6093367913926,-4.76646518308318,-4.84065517274234,-4.6712024919858,-4.68970950662457,-4.75293354838647,-4.71528009419717,-4.61529693529168,-4.88220715626951,-4.71336450354806,-4.73358486133107,-4.79490854997518,-4.72460078531469,-4.78399652618261,-4.64618324006511
"1996",-4.93891622125394,-4.93886818411142,-4.77231508695888,-4.78607972656418,-4.99913440483868,-4.69310303664618,-4.70913213056524,-4.79592659222181,-4.94785496193072,-4.90975685853364,-4.90042012920719,-5.21538866389277,-5.13792287566426,-5.01338848034812,-5.18628869130105,-4.80083616080332,-4.80283278115748,-4.87850281796723,-4.82153525968883,-4.82903765710457,-4.78153010033145,-4.91431308276879,-4.95814424774408,-5.08382653874255,-4.82762586519769,-5.00073721930043,-4.91115550802274,-5.01753144585028,-4.91982065030953,-4.98496386810521,-4.70716766923577,-4.73901726711972,-4.6302089060855,-4.78907452425436,-4.88332615137486,-4.70594408275081,-4.69545363958741,-4.75388500471648,-4.72930255029613,-4.64526231746937,-4.92402594921441,-4.76607892594487,-4.78080817203652,-4.83854958407385,-4.75700535159668,-4.83853665930707,-4.68898810717444
"1997",-4.92258773510265,-4.92744898527279,-4.75540003942817,-4.75659735782964,-4.98318139263205,-4.65391500158156,-4.69411106858333,-4.78956754891682,-4.9080407931716,-4.88036164743109,-4.89315088494288,-5.20364681084578,-5.12095976976901,-5.0005492079778,-5.1592567976285,-4.77450441815162,-4.7679484359564,-4.86896343631731,-4.7714624387742,-4.83174048340911,-4.77076971700385,-4.89071650463014,-4.94994608033704,-5.07576571174352,-4.83950610882421,-4.99337762902458,-4.90403433999118,-5.00754459871828,-4.90891121856113,-4.96716429140442,-4.70177888470166,-4.68474177554069,-4.62173062656197,-4.78666858567291,-4.85272204332536,-4.68666220727156,-4.67455497620842,-4.73984004433694,-4.71443746407987,-4.62876899175407,-4.89819294141707,-4.7210730378895,-4.77358509306205,-4.80236156334697,-4.74312732937546,-4.79147741050955,-4.69237984802686
"1998",-4.89978873363078,-4.91492432907531,-4.75532398592047,-4.74306453379672,-4.96401445996782,-4.64846024957914,-4.68990089313978,-4.75695210745101,-4.89379616754766,-4.86737713527429,-4.84063412918875,-5.15378591588732,-5.0762714135519,-4.97987023611343,-5.1236240242626,-4.75938016249267,-4.74149029120192,-4.82827325577452,-4.80395211153494,-4.79056215119967,-4.76404853807427,-4.87500323010055,-4.92016329081413,-5.04948285469252,-4.80163137388951,-4.98238180364431,-4.87404501105171,-4.97729988136362,-4.88628746575034,-4.93284685464985,-4.67372473206154,-4.70180993760679,-4.64066799981642,-4.77972377201657,-4.83986191810995,-4.6386670073139,-4.68393930115233,-4.72467154701146,-4.69725285119851,-4.61597728315026,-4.87140785524468,-4.72055189468815,-4.74288170409615,-4.78961188284163,-4.72718174856663,-4.78855707642994,-4.6753137300381
"1999",-4.8544524590028,-4.85266437896163,-4.69982461132208,-4.66523349152594,-4.89741276329185,-4.59086026337483,-4.61925525391443,-4.70871863651678,-4.84222805512638,-4.8299251676875,-4.78636026753665,-5.11752668291753,-5.03097316669714,-4.92874038190689,-5.08958311927126,-4.69942993815498,-4.69607048646288,-4.7828617678282,-4.76481968896324,-4.7540908480171,-4.72366654249218,-4.81858295591218,-4.86439275061168,-5.01554127286511,-4.79287380506908,-4.94006198920249,-4.83387136780987,-4.94430728114271,-4.86712921282664,-4.91492865459823,-4.65732517628854,-4.65457203696376,-4.53223526076897,-4.71635314268526,-4.79513187340543,-4.59211465317919,-4.63110927719711,-4.6998438579154,-4.65208007959599,-4.54612186319065,-4.82633154447954,-4.71079682162637,-4.69947910239607,-4.7078010250419,-4.67352921856294,-4.75177664708659,-4.59724613839496
