Unnamed: 0,a0_2017,a0_2022,a0_2027,a25_2017,a25_2022,a25_2037,a55_2017,a55_2022,a55_2037,,,
23,-6.072477225,-6.319399332,-6.442349705,-7.815191577,-7.897769249,-7.93715732,-5.708121876,-5.858907629,-5.934165921,,,
5,-6.100262074,-6.359671443,-6.508308243,-7.522430523,-7.57071861,-7.594893549,-5.539987734,-5.654492435,-5.721667971,,,
2,-5.953941428,-6.193715379,-6.322833826,-7.563179984,-7.664035036,-7.71405772,-5.372366571,-5.463633145,-5.512574271,,,
12,-6.021354844,-6.221753567,-6.31133378,-7.764081607,-7.838274254,-7.870103038,-5.628368463,-5.734470059,-5.783311189,,,
38,-6.249704329,-6.588948883,-6.829110471,-7.589890316,-7.640353519,-7.671337799,-5.522296267,-5.623677769,-5.69701294,,,-5.09767058
18,-5.94461913,-6.160512983,-6.312157533,-7.771928057,-7.851531551,-7.905112367,-5.759562662,-5.874686461,-5.956829331,,,-8.123426241
40,-6.027533273,-6.294322527,-6.438877283,-7.75521982,-7.850600481,-7.898752046,-5.586014106,-5.740388369,-5.824720357,,,
7,-5.77843598,-6.210429342,-6.326968053,-7.484815083,-7.545174513,-7.555633726,-5.465142023,-5.652407084,-5.701700643,,,
21,-6.001914963,-6.228674062,-6.354117323,-7.729240504,-7.824132265,-7.872670501,-5.718728106,-5.864798417,-5.947635239,,,
10,-6.028707537,-6.254230292,-6.361123419,-7.628561468,-7.664436685,-7.676131521,-5.613070578,-5.715865177,-5.764247703,,,
34,-6.132346316,-6.4434711,-6.596176032,-7.740623253,-7.858791453,-7.911243314,-5.661343868,-5.822201212,-5.901737195,,,
1,-6.068570239,-6.233599805,-6.361792268,-7.580678352,-7.62413424,-7.655982916,-5.552212694,-5.632990423,-5.695702704,,,
28,-6.164407025,-6.461464976,-6.64470279,-7.768313335,-7.910899673,-7.993694709,-5.648504828,-5.817842387,-5.922776522,,,
8,-5.928769599,-6.150132079,-6.229292894,-7.560039826,-7.621122514,-7.6384818,-5.54344838,-5.673128641,-5.720192384,,,
17,-6.032017828,-6.319738085,-6.512556018,-7.805854976,-7.888927257,-7.939508772,-5.701664719,-5.81811142,-5.896207096,,,
3,-5.49963705,-6.163204685,-6.201257614,-7.220928166,-7.690473838,-7.710934983,-5.160183706,-5.696650964,-5.738161209,,,
37,-6.157507325,-6.433532438,-6.605467885,-7.608494204,-7.66877132,-7.70108087,-5.644457992,-5.753845474,-5.821335349,,,
46,-5.922446076,-6.151534713,-6.245472027,-7.685001717,-7.767287677,-7.792865951,-5.519172289,-5.648104656,-5.700412659,,,
14,-5.994196275,-6.265004427,-6.388878156,-7.890912573,-7.968467919,-8.001497944,-5.662103248,-5.814167257,-5.884168306,,,
39,-5.878746763,-6.166144178,-6.288496864,-7.66716727,-7.762463025,-7.795703968,-5.484984351,-5.611523764,-5.664830548,,,
43,-6.022439351,-6.273148643,-6.368269315,-7.735843989,-7.83363307,-7.86241139,-5.659732097,-5.793059689,-5.84470454,,,
26,-6.084222586,-6.42664481,-6.573950884,-7.870557336,-8.020074581,-8.079667559,-5.715976015,-5.897200369,-5.97530187,,,
24,-5.991356553,-6.285814131,-6.459709723,-7.634443731,-7.706006341,-7.74395792,-5.690073375,-5.838432779,-5.925291113,,,
4,-5.275529005,-6.340653297,-6.425310611,-7.129640872,-7.918165774,-7.979659427,-5.09767058,-5.823069516,-5.883313529,,,
45,-5.926939776,-6.181475592,-6.284687274,-7.72160563,-7.823838532,-7.856150902,-5.552434433,-5.662257207,-5.707170207,,,
20,-6.320046395,-6.670732491,-6.853404414,-7.665151956,-7.710064637,-7.729060884,-5.76186826,-5.900872754,-5.974518938,,,
42,-5.93439636,-6.113166753,-6.252995559,-7.609319786,-7.678772113,-7.728472229,-5.563579325,-5.678563659,-5.770974112,,,
29,-6.001630041,-6.2429227,-6.390653392,-7.813845711,-7.905915177,-7.959944489,-5.720381479,-5.871820134,-5.965987852,,,
15,-6.138742565,-6.307718949,-6.491442553,-7.659796143,-7.685858133,-7.711378258,-5.639528213,-5.707752846,-5.781083694,,,
44,-6.03012014,-6.287375047,-6.451178893,-7.589121133,-7.640898753,-7.6695636,-5.652801854,-5.810844437,-5.911663099,,,
33,-6.113293255,-6.414114472,-6.580262523,-7.785053689,-7.877024936,-7.922137179,-5.681682488,-5.828614672,-5.913537306,,,
27,-6.083884707,-6.321586589,-6.46564328,-7.814202121,-7.889211395,-7.932461187,-5.527750657,-5.653867229,-5.729948334,,,
41,-6.142140936,-6.483216567,-6.664275909,-7.739504974,-7.846089697,-7.894271338,-5.571035952,-5.732382587,-5.817810444,,,
11,-6.082199211,-6.349554778,-6.506940969,-7.804026495,-7.875016989,-7.913571455,-5.631843746,-5.747707717,-5.815615559,,,
25,-5.990898707,-6.270297885,-6.428903411,-7.820762657,-7.948234046,-8.01399206,-5.824889654,-6.014086505,-6.120824083,,,
32,-6.047446712,-6.338429642,-6.542681703,-7.563225245,-7.60392402,-7.629686782,-5.594387857,-5.724743633,-5.817554938,,,
22,-6.06479682,-6.331276755,-6.447729387,-7.763023821,-7.83578464,-7.863180628,-5.663717407,-5.814936406,-5.881523737,,,
9,-5.895858048,-6.208665789,-6.333645045,-7.582745303,-7.643337212,-7.661727351,-5.54553975,-5.70147015,-5.76385578,,,
36,-5.765398869,-5.927710709,-6.060703163,-7.601264525,-7.635289991,-7.663888054,-5.598391909,-5.736200816,-5.856542122,,,
13,-6.118954796,-6.419196737,-6.58157511,-7.959636665,-8.066372382,-8.123426241,-5.626031468,-5.776177376,-5.857486254,,,
31,-6.04354552,-6.276318622,-6.459460593,-7.570172499,-7.612480224,-7.641406796,-5.579152268,-5.712893858,-5.818040792,,,
16,-6.014276779,-6.266433113,-6.393328148,-7.629913232,-7.65514114,-7.664005212,-5.670023283,-5.781506747,-5.838604414,,,
30,-6.023812134,-6.308734729,-6.435725579,-7.625874686,-7.677663641,-7.697732794,-5.564200114,-5.733251966,-5.809769853,,,
6,-5.904309347,-6.078692675,-6.185207076,-7.564750874,-7.618058791,-7.648381983,-5.647452237,-5.760121107,-5.829867943,,,
35,-6.033034738,-6.358016682,-6.550196226,-7.660815959,-7.792848988,-7.863341827,-5.581388751,-5.755832898,-5.858749988,,,
19,-6.070916929,-6.392891818,-6.567967118,-7.656123457,-7.686464705,-7.701004602,-5.579356221,-5.708521185,-5.775798483,,,
