Year,MAE_LLC_t_R,MAE_LLC_e_R,MAE_LCCE_t_R,MAE_LCCE_e_R,MAE_LLC_t_P,MAE_LLC_e_P,MAE_LCCE_t_P,MAE_LCCE_e_P
2013,0.001263808,0.001271055,0.001273039,0.001265201,0.001712868,0.001718236,0.001720284,0.001718223
2014,0.000959904,0.00096015,0.000961971,0.000961041,0.001331318,0.001330846,0.001336222,0.001334161
2015,0.001400788,0.001429653,0.001405216,0.001412026,0.001624771,0.001635036,0.001639153,0.001630968
2016,0.001482808,0.00152795,0.001495656,0.00151584,0.001778958,0.001794689,0.001791213,0.001780281
2017,0.001971919,0.002020534,0.001987652,0.002029908,0.002347928,0.002361983,0.002353995,0.002342343
2018,0.001871698,0.001917227,0.001876078,0.001906278,0.002151799,0.002191645,0.002164301,0.002148477
2019,0.001906994,0.001969594,0.001917014,0.001930455,0.002145682,0.002180342,0.002174856,0.002137452
2020,0.000737631,0.000777463,0.000756805,0.000761543,0.001243067,0.001247941,0.00125859,0.00124989
2021,0.001768003,0.001863689,0.001835545,0.001826857,0.002052669,0.002088169,0.002110654,0.00208387
2022,0.004960548,0.005084814,0.005045289,0.005018206,0.005281868,0.005348773,0.005364006,0.005310985
